FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150925;0500;0,950002;;;
150925;0600;1,925;;;
150925;0700;2,51668;;;
150925;0800;0,1;;;
150925;0900;0,1;;;
150925;1000;0,1;;;
150925;1100;0,250001;;;
150925;1200;0,250001;;;
150925;1300;0,166667;;;
150925;1400;0,1;;;
150925;1500;0,1;;;
150925;1600;0,1;;;
150925;1700;0,183333;;;
150925;1800;0,675001;;;
150925;1900;0,775002;;;
150925;2000;0,541669;;;
150925;2100;0,491668;;;
150925;2200;0,458334;;;
150925;2300;0,250001;;;
150926;0000;0,275001;;;
150926;0100;0,516668;;;
150926;0200;0,241668;;;
150926;0300;0,1;;;
150926;0400;0,275001;;;
150926;0500;0,233334;;;
150926;0600;0,308334;;;
150926;0700;0,466668;;;
150926;0800;0,208333;;;
150926;0900;0,283334;;;
150926;1000;0,158334;;;
150926;1100;0,116667;;;
150926;1200;0,1;;;
150926;1300;0,1;;;
150926;1400;0,1;;;
150926;1500;0,1;;;
150926;1600;0,191668;;;
150926;1700;0,116667;;;
150926;1800;0,316668;;;
150926;1900;0,308334;;;
150926;2000;0,391668;;;
150926;2100;0,483334;;;
150926;2200;0,433334;;;
150926;2300;0,825002;;;
150927;0000;0,625002;;;
150927;0100;0,183333;;;
150927;0200;0,233334;;;
150927;0300;0,1;;;
150927;0400;0,425001;;;
150927;0500;0,1;;;
150927;0600;0,1;;;
150927;0700;0,1;;;
150927;0800;0,1;;;
150927;0900;0,1;;;
150927;1000;0,1;;;
150927;1100;0,1;;;
150927;1200;0,1;;;
150927;1300;0,1;;;
150927;1400;0,108333;;;
150927;1500;0,1;;;
150927;1600;0,1;;;
150927;1700;0,1;;;
150927;1800;0,125;;;
150927;1900;0,533335;;;
150927;2000;0,783335;;;
150927;2100;0,991669;;;
150927;2200;0,625002;;;
150927;2300;0,708335;;;
150928;0000;0,291668;;;
150928;0100;0,841668;;;
150928;0200;1,1;;;
150928;0300;0,250001;;;
150928;0400;0,316668;;;
150928;0500;0,950002;;;
150928;0600;1,38333;;;
150928;0700;1,73333;;;
150928;0800;0,141667;;;
150928;0900;0,1;;;
150928;1000;0,1;;;
150928;1100;0,1;;;
150928;1200;;0,1;;
150928;1300;;;3,09941;
150928;1400;0,158334;;;
150928;1500;0,175;;;
150928;1600;0,191668;;;
150928;1700;0,275001;;;
150928;1800;0,500002;;;
150928;1900;1,00833;;;
150928;2000;0,908335;;;
150928;2100;0,975001;;;
150928;2200;2,39168;;;
150928;2300;1,14167;;;
150929;0000;0,925001;;;
150929;0100;0,875002;;;
150929;0200;1,05;;;
150929;0300;1,01667;;;
150929;0400;0,391668;;;
150929;0500;1,24167;;;
150929;0600;1,53333;;;
150929;0700;1,40833;;;
150929;0800;0,766668;;;
150929;0900;0,416668;;;
150929;1000;0,558334;;;
150929;1100;0,700002;;;
150929;1200;0,833335;;;
150929;1300;1;;;
150929;1400;1,28333;;;
150929;1500;1,23333;;;
150929;1600;1,34167;;;
150929;1700;1,65833;;;
150929;1800;2,04168;;;
150929;1900;2,21668;;;
150929;2000;1,875;;;
150929;2100;1,86667;;;
150929;2200;1,76667;;;
150929;2300;1,125;;;
150930;0000;1,21667;;;
150930;0100;1,19167;;;
150930;0200;1,46667;;;
150930;0300;0,850001;;;
150930;0400;0,333334;;;
150930;0500;0,350001;;;
150930;0600;0,666669;;;
150930;0700;1,34167;;;
150930;0800;0,816669;;;
150930;0900;0,366668;;;
150930;1000;0,283334;;;
150930;1100;0,291668;;;
150930;1200;0,300001;;;
150930;1300;0,250001;;;
150930;1400;0,266668;;;
150930;1500;0,350001;;;
150930;1600;0,375001;;;
150930;1700;0,516668;;;
150930;1800;0,841668;;;
150930;1900;1,325;;;
150930;2000;1,63333;;;
150930;2100;1,075;;;
150930;2200;0,758334;;;
150930;2300;0,650002;;;
151001;0000;0,716668;;;
151001;0100;0,950002;;;
151001;0200;1,49167;;;
151001;0300;1,74167;;;
151001;0400;2,33334;;;
151001;0500;2,69168;;;
151001;0600;2,82501;;;
151001;0700;3,80001;;;
151001;0800;0,458334;;;
151001;0900;0,200001;;;
151001;1000;0,183333;;;
151001;1100;0,141667;;;
151001;1200;0,183333;;;
151001;1300;0,158334;;;
151001;1400;0,150001;;;
151001;1500;0,133333;;;
151001;1600;0,166667;;;
151001;1700;0,250001;;;
151001;1800;0,366668;;;
151001;1900;1,16667;;;
151001;2000;0,725001;;;
151001;2100;0,550001;;;
151001;2200;0,633334;;;
151001;2300;0,383334;;;
151002;0000;0,225;;;
151002;0100;0,258334;;;
151002;0200;0,108333;;;
151002;0300;0,258334;;;
151002;0400;0,675001;;;
151002;0500;1,93333;;;
151002;0600;3,50001;;;
151002;0700;3,66668;;;
151002;0800;1,00833;;;
151002;0900;0,683334;;;
151002;1000;0,425001;;;
151002;1100;0,466668;;;
151002;1200;0,416668;;;
151002;1300;0,416668;;;
151002;1400;0,275001;;;
151002;1500;0,375001;;;
151002;1600;0,391668;;;
151002;1700;0,783335;;;
151002;1800;1,28333;;;
151002;1900;3,23334;;;
151002;2000;7,16667;;;
151002;2100;6,10835;;;
151002;2200;1,95;;;
151002;2300;3,35834;;;
151003;0000;2,10001;;;
151003;0100;4,57501;;;
151003;0200;4,93334;;;
151003;0300;4,12502;;;
151003;0400;3,59168;;;
151003;0500;2,11668;;;
151003;0600;3,09168;;;
151003;0700;3,85834;;;
151003;0800;1,2;;;
151003;0900;1,025;;;
151003;1000;0,983335;;;
151003;1100;0,633334;;;
151003;1200;0,500002;;;
151003;1300;0,508334;;;
151003;1400;0,491668;;;
151003;1500;0,450001;;;
151003;1600;0,441668;;;
151003;1700;0,583335;;;
151003;1800;1,26667;;;
151003;1900;5,78335;;;
151003;2000;7,56669;;;
151003;2100;6,23335;;;
151003;2200;6,29167;;;
151003;2300;9,6167;;;
151004;0000;10,0667;;;
151004;0100;7,18334;;;
151004;0200;4,52501;;;
151004;0300;2,28334;;;
151004;0400;4,40001;;;
151004;0500;2,65001;;;
151004;0600;0,766668;;;
151004;0700;1,16667;;;
151004;0800;1,26667;;;
151004;0900;1,29167;;;
151004;1000;1,29167;;;
151004;1100;1,10833;;;
151004;1200;0,691669;;;
151004;1300;0,925001;;;
151004;1400;0,266668;;;
151004;1500;0,241668;;;
151004;1600;0,241668;;;
151004;1700;0,341668;;;
151004;1800;0,341668;;;
151004;1900;0,750002;;;
151004;2000;0,916669;;;
151004;2100;0,516668;;;
151004;2200;0,450001;;;
151004;2300;0,533335;;;
151005;0000;0,241668;;;
151005;0100;0,716668;;;
151005;0200;0,533335;;;
151005;0300;0,466668;;;
151005;0400;0,1;;;
151005;0500;0,216667;;;
151005;0600;0,575002;;;
151005;0700;0,525002;;;
151005;0800;0,300001;;;
151005;0900;0,225;;;
151005;1000;0,191668;;;
151005;1100;0,266668;;;
151005;1200;0,358334;;;
151005;1300;0,258334;;;
151005;1400;0,516668;;;
151005;1500;0,533335;;;
151005;1600;0,550001;;;
151005;1700;1,14167;;;
151005;1800;0,633334;;;
151005;1900;0,808334;;;
151005;2000;0,791669;;;
151005;2100;0,941669;;;
151005;2200;0,991669;;;
151005;2300;1,00833;;;
151006;0000;0,841668;;;
151006;0100;1,625;;;
151006;0200;0,375001;;;
151006;0300;0,308334;;;
151006;0400;0,166667;;;
151006;0500;0,366668;;;
151006;0600;0,900002;;;
151006;0700;0,791669;;;
151006;0800;0,633334;;;
151006;0900;0,375001;;;
151006;1000;0,383334;;;
151006;1100;0,366668;;;
151006;1200;0,758334;;;
151006;1300;0,750002;;;
151006;1400;0,800001;;;
151006;1500;0,625002;;;
151006;1600;0,400001;;;
151006;1700;0,808334;;;
151006;1800;0,925001;;;
151006;1900;0,691669;;;
151006;2000;0,658335;;;
151006;2100;0,916669;;;
151006;2200;1,01667;;;
151006;2300;0,950002;;;
151007;0000;0,841668;;;
151007;0100;0,666669;;;
151007;0200;0,641668;;;
151007;0300;0,125;;;
151007;0400;0,1;;;
151007;0500;0,1;;;
151007;0600;0,300001;;;
151007;0700;0,525002;;;
151007;0800;0,383334;;;
151007;0900;0,333334;;;
151007;1000;0,358334;;;
151007;1100;0,325001;;;
151007;1200;0,375001;;;
151007;1300;0,416668;;;
151007;1400;0,291668;;;
151007;1500;0,291668;;;
151007;1600;0,258334;;;
151007;1700;0,325001;;;
151007;1800;0,425001;;;
151007;1900;1,15;;;
151007;2000;1,2;;;
151007;2100;1,45;;;
151007;2200;0,866669;;;
151007;2300;0,958335;;;
151008;0000;1,66667;;;
151008;0100;1,95;;;
151008;0200;0,608335;;;
151008;0300;0,266668;;;
151008;0400;1,08333;;;
151008;0500;0,891668;;;
151008;0600;3,03334;;;
151008;0700;0,758334;;;
151008;0800;0,425001;;;
151008;0900;0,483334;;;
151008;1000;0,366668;;;
151008;1100;0,300001;;;
151008;1200;0,325001;;;
151008;1300;0,275001;;;
151008;1400;0,258334;;;
151008;1500;0,250001;;;
151008;1600;0,283334;;;
151008;1700;0,300001;;;
151008;1800;;0,566668;;
151008;1900;0,741669;;;
151008;2000;0,900002;;;
151008;2100;0,958335;;;
151008;2200;1,675;;;
151008;2300;1,6;;;
151009;0000;1,69167;;;
151009;0100;0,758334;;;
151009;0200;1,35833;;;
151009;0300;0,666669;;;
151009;0400;0,600001;;;
151009;0500;1,20833;;;
151009;0600;1,93333;;;
151009;0700;1,46667;;;
151009;0800;0,641668;;;
151009;0900;0,550001;;;
151009;1000;0,366668;;;
151009;1100;0,341668;;;
151009;1200;0,375001;;;
151009;1300;0,283334;;;
151009;1400;0,191668;;;
151009;1500;0,208333;;;
151009;1600;0,200001;;;
151009;1700;0,291668;;;
151009;1800;0,800001;;;
151009;1900;1,30833;;;
151009;2000;3,82501;;;
151009;2100;5,00002;;;
151009;2200;4,42502;;;
151009;2300;3,68334;;;
151010;0000;4,19169;;;
151010;0100;2,20001;;;
151010;0200;1,325;;;
151010;0300;2,11668;;;
151010;0400;2,25834;;;
151010;0500;0,700002;;;
151010;0600;0,900002;;;
151010;0700;0,758334;;;
151010;0800;1,25;;;
151010;0900;0,750002;;;
151010;1000;0,433334;;;
151010;1100;0,325001;;;
151010;1200;0,233334;;;
151010;1300;0,166667;;;
151010;1400;0,150001;;;
151010;1500;0,150001;;;
151010;1600;0,125;;;
151010;1700;0,166667;;;
151010;1800;0,483334;;;
151010;1900;1,01667;;;
151010;2000;3,15001;;;
151010;2100;5,08334;;;
151010;2200;5,33334;;;
151010;2300;1,96667;;;
151011;0000;3,08334;;;
151011;0100;3,50834;;;
151011;0200;2,09168;;;
151011;0300;1,125;;;
151011;0400;0,841668;;;
151011;0500;1,10833;;;
151011;0600;0,658335;;;
151011;0700;0,491668;;;
151011;0800;0,608335;;;
151011;0900;0,700002;;;
151011;1000;0,508334;;;
151011;1100;0,391668;;;
151011;1200;0,366668;;;
151011;1300;0,391668;;;
151011;1400;0,175;;;
151011;1500;0,166667;;;
151011;1600;0,158334;;;
151011;1700;0,166667;;;
151011;1800;0,191668;;;
151011;1900;0,675001;;;
151011;2000;0,708335;;;
151011;2100;1,84167;;;
151011;2200;2,49168;;;
151011;2300;1,775;;;
151012;0000;1,35;;;
151012;0100;1,73333;;;
151012;0200;1,21667;;;
151012;0300;0,850001;;;
151012;0400;0,491668;;;
151012;0500;0,425001;;;
151012;0600;0,408334;;;
151012;0700;0,408334;;;
151012;0800;1,23333;;;
151012;0900;1,35;;;
151012;1000;0,333334;;;
151012;1100;0,591668;;;
151012;1200;0,450001;;;
151012;1300;0,408334;;;
151012;1400;0,658335;;;
151012;1500;0,675001;;;
151012;1600;0,683334;;;
151012;1700;0,933334;;;
151012;1800;0,916669;;;
151012;1900;1,33333;;;
151012;2000;1,34167;;;
151012;2100;0,841668;;;
151012;2200;1,01667;;;
151012;2300;1,25;;;
151013;0000;0,266668;;;
151013;0100;0,391668;;;
151013;0200;0,908335;;;
151013;0300;1,05833;;;
151013;0400;0,808334;;;
151013;0500;0,658335;;;
151013;0600;1,28333;;;
