"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.024978719E0,7.477745414E-2,-8.256721497E-2,8.964478970E-2,1.429867160E-1
1.032943807E0,8.445686102E-2,-9.510803223E-2,1.799511909E-1,2.203654471E-1
1.040969930E0,8.963948488E-2,-1.053771973E-1,2.158268690E-1,2.563607387E-1
1.048965535E0,9.489566088E-2,-1.204748154E-1,2.462761402E-1,2.901229133E-1
1.056961141E0,9.773397446E-2,-1.284160614E-1,3.218146861E-1,3.600101481E-1
1.064926228E0,9.840059280E-2,-1.291580200E-1,4.188816249E-1,4.492508058E-1
1.072921834E0,8.894932270E-2,-1.390647888E-1,4.496485889E-1,4.789935814E-1
1.080947957E0,1.006650329E-1,-1.516571045E-1,4.609295726E-1,4.955697701E-1
1.088913045E0,1.030553281E-1,-1.569976807E-1,4.351652861E-1,4.739593850E-1
1.096908650E0,9.182357788E-2,-1.788253784E-1,3.846113086E-1,4.339768935E-1
1.104873738E0,6.999343634E-2,-1.547632217E-1,3.374696076E-1,3.778048067E-1
1.112869344E0,6.344079971E-2,-1.423435211E-1,3.054950535E-1,3.429484521E-1
1.120834432E0,6.504178047E-2,-1.414527893E-1,2.312502265E-1,2.787758814E-1
1.128830037E0,5.545929074E-2,-1.449937820E-1,1.810895205E-1,2.385211609E-1
1.136825643E0,5.623099208E-2,-1.314620972E-1,1.355467141E-1,1.970206059E-1
1.144790730E0,6.466230750E-2,-1.247825623E-1,6.206539273E-2,1.536359816E-1
1.152755818E0,4.275193810E-2,-1.226310730E-1,1.915019751E-2,1.312739058E-1
1.160781941E0,4.530030489E-2,-1.083126068E-1,-2.534902096E-2,1.201095803E-1
1.168716512E0,3.126272559E-2,-1.006994247E-1,-4.622823000E-2,1.151294116E-1
1.176742635E0,3.885564208E-2,-9.785556793E-2,-8.374285698E-2,1.345300680E-1
1.184738240E0,6.558510661E-2,-9.019947052E-2,-1.448539495E-1,1.828114258E-1
1.192703328E0,3.726941347E-2,-9.211826324E-2,-2.132540941E-1,2.352702537E-1
1.200729451E0,5.422550440E-2,-8.212089539E-2,-2.873376012E-1,3.037221491E-1
1.208694539E0,5.434137583E-2,-6.737041473E-2,-3.501039743E-1,3.606446322E-1
1.216690144E0,4.206395149E-2,-5.749988556E-2,-4.046462178E-1,4.108700214E-1
1.224685750E0,5.345642567E-2,-3.809452057E-2,-4.549297690E-1,4.596410303E-1
1.232650838E0,4.778742790E-2,-6.901168823E-2,-4.866638780E-1,4.938501610E-1
1.240676961E0,7.304155827E-2,-5.685901642E-2,-5.234658122E-1,5.315867507E-1
1.248642049E0,6.440848112E-2,-7.110023499E-2,-5.753677487E-1,5.833110166E-1
1.256637654E0,5.096068978E-2,-8.533191681E-2,-5.911871791E-1,5.994837851E-1
1.264633260E0,3.999808431E-2,-7.329368591E-2,-6.225633621E-1,6.281376847E-1
1.272628865E0,5.512800813E-2,-6.143856049E-2,-6.280668378E-1,6.334680313E-1
1.280593953E0,5.954992771E-2,-7.438278198E-2,-6.202811003E-1,6.275568783E-1
1.288559041E0,5.897256732E-2,-5.397891998E-2,-6.062086821E-1,6.114576467E-1
1.296554646E0,6.776580215E-2,-7.445430756E-2,-5.744074583E-1,5.831634214E-1
