Año,Trimestre ,Población en edad de trabajar (Total),Fuerza de trabajo (Total),Ocupados (Total),Desocupados (Total),Desocupados (Cesantes),Desocupados (Buscan trabajo por primera vez),Fuera de la fuerza de trabajo (Total),Fuera de la fuerza de trabajo (Iniciadores),Fuera de la fuerza de trabajo (Inactivos potencialmente activos),Fuera de la fuerza de trabajo (Inactivos habituales),Tasa de desocupación,Tasa de ocupación ,Tasa de participación
,,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,tasa (%),tasa (%),tasa (%)
2018,Nov - Ene,7440.788005,5513.812267,5156.616499,357.1957678,307.5332662,49.66250159,1926.975738,32.94334294,292.1282424,1601.904152,6.478199665,69.30202145,74.10253139
2019,Dic - Feb,7455.024002,5524.278042,5180.812346,343.4656955,306.1515746,37.31412089,1930.74596,38.0198311,305.3596843,1587.366445,6.217386107,69.494241,74.10141189
2019,Ene - Mar,7469.216,5521.403212,5164.36816,357.0350519,316.0203575,41.01469439,1947.812789,38.05374872,294.6493763,1615.109664,6.466382515,69.14203793,73.92212532
2019,Feb - Abr,7483.368,5514.992297,5170.533851,344.4584457,306.9624962,37.49594957,1968.375703,32.24542122,271.9502681,1664.180014,6.245855428,69.09367348,73.69666034
2019,Mar - May,7497.504,5500.691862,5143.40865,357.2832125,318.5453354,38.73787713,1996.812138,29.92775032,259.7995841,1707.084803,6.495241353,68.60161262,73.36697469
2019,Abr - Jun,7511.78,5496.932174,5119.781876,377.1502983,340.0087019,37.14159639,2014.847826,30.69744485,272.1012111,1712.04917,6.861105183,68.15670687,73.17749154
2019,May -Jul,7525.918,5511.344493,5112.282947,399.061546,358.166658,40.89488808,2014.573507,34.05937008,292.0335522,1688.480584,7.24072949,67.92902802,73.23152462
2019,Jun - Ago,7539.844,5520.150766,5118.786282,401.3644838,363.9035893,37.4608945,2019.693234,35.87629972,291.7586742,1692.05826,7.270897134,67.88981684,73.21306337
2019,Jul - Sep,7553.404,5545.61954,5167.774037,377.8455033,343.4216536,34.42384969,2007.78446,35.39462853,292.4458513,1679.94398,6.813404717,68.41649191,73.41881276
2019,Ago - Oct,7567.024,5548.806964,5182.047349,366.7596149,338.7190658,28.04054909,2018.217036,43.15687856,284.2104873,1690.849671,6.609702182,68.48197321,73.32878769
2019,Sep - Nov,7580.541,5570.612656,5216.910138,353.7025187,323.2310198,30.47149884,2009.928344,39.89726833,311.7728849,1658.25819,6.349436597,68.8197602,73.48568732
2019,Oct - Dic,7594.139,5601.49203,5234.266018,367.2260123,330.6403085,36.5857038,1992.64697,38.7767942,309.6935964,1644.176579,6.555860658,68.92507522,73.76072561
2019,Nov - Ene,7607.703966,5619.710851,5238.501661,381.2091901,339.3220885,41.88710161,1987.993115,30.6411415,409.4532191,1547.898754,6.783430683,68.85785362,73.86868464
